TIME,SUPPLY_Volt_Set,SUPPLY_Volt_Measure,SUPPLY_Current_Measure,LOAD01_Current_Set,LOAD01_Volt_Measure,LOAD01_Current_Measure,TEMP_Ambient_F,TEMP_Measure_F
1.86,error,error,error,error,error,error,error,error
2.07,error,error,error,error,error,error,error,error
2.27,error,error,error,error,error,error,error,error
2.48,error,error,error,error,error,error,error,error
2.69,error,error,error,error,error,error,error,error
2.89,error,error,error,error,error,error,error,error
3.10,error,error,error,error,error,error,error,error
3.31,error,error,error,error,error,error,error,error
3.52,error,error,error,error,error,error,error,error
3.73,error,error,error,error,error,error,error,error
3.93,error,error,error,error,error,error,error,error
